bbl,ownerName,propertyAddress,taxClass,estimatedValue,assesedValue,taxRate,taxBefore,annualTax
1011130001,COLUMBUS 60TH REALTY LLC,45 W. 60TH ST.,"2 - Residential, More Than 10 Units",103898000,42991820,13.15%,5651275,5651275
1011130008,SAVOY ESTATES LLC,27 W. 60TH ST.,4 - Commercial Property,31111000,11698920,10.32%,1207680,1207389
1011130013,17 WEST 60TH STREET OWNER LLC,17 W. 60TH ST.,4 - Commercial Property,11318000,4755330,10.32%,490893,490893
1011130018,25 WEST 39 ST. ASSOCIATES,1841 BROADWAY,4 - Commercial Property,57978000,22389660,10.32%,2311285,2247398
1011130020,GLOBAL 1845 BROADWAY LLC,1845 BROADWAY,4 - Commercial Property,6747000,2950570,10.32%,304587,304587
1011130046,NEW YORK INS TECHNLGY,1849 BROADWAY,4 - Commercial Property,2421000,971550,10.32%,100293,0
